,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
125,Video Editing/Making,Deebaco,Noida,3 Months,5000,1 day ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing', 'Video Making']",5000,0,1,0,0,1
126,Customer Service/Customer Support,Euro Dreams Eduverseas Private Limited,Indore,6 Months,5000-7000,Today,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'MS-Excel', 'MS-Office']",6000,0,1,0,1,1
127,Business Development (Sales),The Blunt,Indore,3 Months,5000,2 days ago,"['Effective Communication', 'MS-Excel', 'Social Media Marketing']",5000,0,1,0,0,1
128,Operations,Euro Dreams Eduverseas Private Limited,Indore,6 Months,5000-6000,1 day ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'MS-Word']",5500,0,1,0,1,1
129,Architecture,Studio Vidha,Nagpur,6 Months,7000-8000,Today,"['Adobe Photoshop', 'AutoCAD', 'MS-Office']",7500,0,1,0,0,1
130,Human Resources (HR),Score Academy,Dehradun,4 Months,5000-8000,Today,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",6500,0,1,0,0,1
131,Digital Marketing,Defenzelite Private Limited,Seoni,3 Months,5000,,"['Creative Writing', 'Digital Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",5000,0,1,0,0,1
132,Digital Marketing,Euro Dreams Eduverseas Private Limited,Indore,6 Months,5000,1 day ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",5000,0,1,0,1,1
133,Human Resources (HR),Euro Dreams Eduverseas Private Limited,Indore,6 Months,5000,1 day ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word']",5000,0,1,0,1,1
134,Customer Service/Customer Support,Guruji Astro,Jaipur,5 Months,10000,1 day ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",10000,0,1,0,1,1
135,Marketing,Euro Dreams Eduverseas Private Limited,Indore,6 Months,5000,1 day ago,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'MS-Excel', 'MS-Office', 'Social Media Marketing']",5000,0,1,0,1,1
136,Business Development (Sales),Jarvics Technologies,"Panchkula, Kharar, Kurali, Morinda, Patiala",6 Months,7000-12000,2 days ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",9500,0,1,0,1,1
137,Management Trainee,Euro Dreams Eduverseas Private Limited,Indore,6 Months,5000-7000,Today,"['Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel']",6000,0,0,0,1,1
138,Fashion Consultant,Pitambra Film & Production LLP,Ahmedabad,2 Months,10000,1 day ago,['Fashion Styling'],10000,0,1,0,1,1
139,Human Resources (HR),Brainbean Technolabs Private Limited,Anand,6 Months,5000,Today,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word']",5000,0,1,0,0,1
140,Sales,Finway Capital,"Delhi, Gurgaon",6 Months,5100,1 day ago,"['Effective Communication', 'MS-Excel', 'MS-Word']",5100,0,1,0,0,1
141,Human Resources (HR),Stareye Media & Entertainment Private Limited,"Ahmedabad, Surat",4 Months,5000,1 day ago,"['English Proficiency (Spoken)', 'Recruitment']",5000,0,1,0,1,1
142,Creative Writing,Letstute,Mumbai,3 Months,8000,1 day ago,"['Content Writing', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",8000,0,1,0,0,1
143,Chemical Engineering,Primary Healthtech,Guwahati,6 Months,5000-10000,1 day ago,['NOT MENTIONED'],7500,0,1,0,1,1
144,Social Media Marketing,Euro Dreams Eduverseas Private Limited,Indore,6 Months,5000-6000,1 day ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",5500,0,1,0,1,1
145,International Business Development (Sales),Intesome,Pune,6 Months,10000,Today,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Sales', 'Sales pitch']",10000,0,0,0,1,1
